questions,answers,intent
성적이 오르지 않아 고민이었는데 담임 선생님께서 도움을 많이 주셔서 매우 감사해.,담임 선생님께서 도움을 많이 주셨군요. 감사한 마음을 어떻게 표현하면 좋을까요?,0
반 배정이 나왔는데 우리 반에 친한 친구가 한 명도 없어. 너무 외로워.,친한 친구가 한 명도 없으셔서 당황스러우실 것 같아요. 어떻게 외로움을 없앨 수 있을까요?,0
입시가 코 앞인데 지금 내 성적으로는 좋은 결과를 내기 어려울 것 같아.,대학 입시로 걱정이 많으시군요. 왜 그렇게 생각하시나요?,0
체육복을 빌려갔던 옆 반의 친구가 결국엔 내 체육복을 잃어버렸어. 너무 짜증 나.,체육복을 빌려간 친구가 체육복을 잃어버려서 정말 화가 날 것 같아요.,0
부모님이 공부하라고 너무 뭐라고 하는 게 싫어.,부모님께서 공부하라고 강요하시는 것 같으신가 보군요.,0
어제 옆 반에서 어떤 친구가 폭력을 당하고 있었는데 난 아무 말도 못해서 슬퍼.,많이 슬프셨군요. 힘드셨겠어요.,0
우리 집은 가난해서 엄마가 학원도 못 보내준대.,유감이네요. 학원에 가고 싶으신가요?,0
시험 답안을 밀려서 썼어. 원래는 백 점 받을 시험이었는데 칠십 점밖에 받지 못했어.,맞게 푼 문제를 틀리게 되어 화가 나시겠어요.,0
우리 반에 내가 좋아하는 남자애가 생겼는데 인기가 너무 많아.,조금 더 자세히 말씀해주시겠어요?,0
이번 시험은 어렵게 나온다고 해서 마킹할때 실수하지 않게 조심해야겠어.,시험에 응시하시는군요. 어떻게 하면 마킹 실수를 하지 않을까요?,0
밤늦게까지 공부해서 다크서클이 생겼는데 친구가 나보고 비아냥거려서 너무 화가 나.,공부의 노력을 친구가 비아냥대서 기분이 상했겠군요.,0
이번 시험 성적이 올라서 만족스러워.,학업이 오르는 것만큼 뿌듯한 일은 없는 것 같아요.,0
친구들은 다 문과인데 나만 이과라서 어색해.,혼자 떨어지게 되었으면 저도 어색할거에요.,0
시험을 망쳤어.,시험을 망치셨군요. 시험을 망치게 된 이유가 있나요?,0
힘든 고민이 있는데도 선생님이나 편한 친구에게 말을 못하겠어.,힘든 고민을 말하지 못해 많이 답답하셨을 것 같아요.,0
오늘 시험 시간에 다른 친구가 커닝하는 것을 보고 놀랐어.,친구가 시험 시간에 커닝하는 것을 보고 많이 놀라셨군요.,0
이번 모의고사는 일 등급이 나올 것이 확실해.,일 등급을 확신하신다니 축하드려요.,0
아빠가 내 중간고사 성적표를 보신 날엔 집에 들어가는 게 무서워.,아빠에게 혼날까 봐 집에 들어가기가 조심스러우신 것 같네요.,0
그동안 진로를 찾지 못해 불편했는데 진로 체험에서 내가 하고 싶은 일을 찾은 것 같아 편안해.,하고 싶은 일을 찾아서 편안이시군요. 어떤 일을 하고 싶으신가요?,0
어제 한 친구가 나를 발로 찼어. 그런데 일부러 찬 걸 아는데도 그 친구는 사과를 하지 않았어.,많이 아프셨겠어요. 지금은 괜찮으세요?,0
학교와 집의 거리가 너무 멀어서 나는 친구보다 공부할 시간이 부족해서 속상해.,학교와 집의 거리가 너무 멀어서 친구보다 공부할 시간이 부족해 속상하시겠어요.,0
시험을 잘 봐도 상대평가로 점수가 안 나오는 것을 보며 속상해.,시험을 잘 봤는데 상대평가로 순위를 매겨서 속상했겠군요.,0
밤늦게까지 공부해서 다크서클이 생겼는데 친구가 나보고 비아냥거려서 너무 화가 나.,공부의 노력을 친구가 비아냥대서 기분이 상했겠군요.,0
오랜만에 공부하려니까 집중이 안 돼. 혼란스러워.,혼란스러운 마음을 어떻게 진정시킬 수 있을까요?,0
이번 시험은 열심히 노력해서 성적이 잘 나왔는데 엄마가 어차피 꼴등일 거라고 안 보겠다고 하셔.,성적이 잘 나와서 보여드리니 꼴등일 거라고 안 보겠다고 하셔서 많이 화나셨겠군요.,0
난 할 줄 아는 것이 없어. 미래에 직업을 가질 수 있을까?,진로 문제로 걱정이 되겠어요. 최근에 한 일 중 재밌었던 활동이 있으세요?,0
나 올림피아드에서 금상 받았어! 그동안 고생이 헛되지 않아서 너무 기뻐.,그동안 고생했는데 금상 수상까지 하셔서 정말 기쁘시겠어요.,0
체육시간에 실수로 친구를 밀쳐 친구가 다쳐버렸어.,실수로 친구를 다치게 해 속상하고 미안하시겠어요.,0
경영학을 전공하고 싶었는데 부정적인 키워드를 보니까 가기 싫어졌어.,부정적인 키워드를 보고 경영학과에 진학하고 싶지 않은 마음이 드셨군요. 앞으로 어떻게 하실 계획이신가요?,0
공부를 안 하고 놀기만 하는 친구들이 제일 한심해.,그렇군요. 노는 친구들이 한심해 보이나 봐요.,0
오늘 선생님이 엄마랑 왜 갑자기 면담하자고 하지?,무슨 일 있으세요? 조금 더 자세히 말씀해 주세요.,0
반 친구들이 싸우는걸 말리다가 나도 한 대 맞았지 뭐야.,싸움을 말리다가 맞으셨다니 다치진 않았나요?,0
새로운 반에서 적응을 잘 못 하겠어. 나만 혼자가 된 거 같아서 외로워.,새로운 반에서 적응을 못 하셨군요. 너무 외롭겠어요.,0
오늘 생활기록부를 봤는데 감동했어.,생활기록부를 보고 감동 받으셨군요. 특히 어떤 점이 감동적이었나요?,0
공부를 열심히 했는데 선생님께 성적이 왜 이모양이냐고 핀잔을 들어서 속상해.,선생님께 핀잔을 들어서 속상하시군요.,0
오늘 친구들과 한 게임에서 져서 벌칙으로 청소를 하게 됐지 뭐야.,게임에 져서 청소를 하게돼서 기분이 좋지 않으신가 봐요.,0
좋아하는 과목이 있는데 이번 시험에서 백 점을 맞았어.,좋아하는 과목 시험에서 백 점을 받다니 기분이 어떠세요?,0
가족들은 모두 거실에서 노는데 나 혼자 공부하고 있는 것 같아서 쓸쓸해.,가족들은 거실에서 노는데 나 혼자 공부하고 있어 외로워하시는군요.,0
친척들 모임에서 성적 이야기가 나온 후로는 부모님이 모임에 나를 데리고 가지 않으셔. 너무 속상해.,부모님이 친척 모임에 데려가지 않아 속상했군요. 조금 더 자세히 알려주시겠어요?,0
요즘 진로 때문에 고민이야. 내가 뭘 해야 할지도 모르겠고,진로 때문에 고민이 많으시군요. 어떻게 하면 진로를 잘 정할 수 있을까요?,0
친구가 없어서 너무 외로워.,주변에 친구를 사귈수 있을만 한 곳이 없나요?,0
다른 친구들은 진로를 정했다는데 나만 못정해서 뒤쳐지는 느낌이 들어.,다른 친구들과 다르게 아직 진로를 정하지 못한 것 같아서 걱정되는 기분이 들었군요. 이럴 때 혹시 어떻게 하면 스스로에 대한 확신을 가질 수 있을까요?,0
친구들이 내가 성적이 낮아서 내 이야기를 잘 안 믿어. 너무 기분이 나빠.,친구들이 성적이 낮다는 이유로 무시를 해서 기분이 나쁘겠군요.,0
알파벳도 모르는 친구가 내 영어 시험 사십 점 받은 거 보고 비웃는 것을 보고 화가 났어.,친구가 영어 시험 성적을 놀려서 화가 나셨군요.,0
진로에 대해서 잘 아는데도 불구하고 성적때문에 진학을 못한다는걸 깨닫으니 허탈하네.,성적때문에 진로방향에 대해 진학하지 못해 허탈감이 드시는군요.,0
가고 싶은 고등학교가 있는데 내 성적 가지고 갈 수 있을지 불안해.,자신의 성적을 가지고 가고 싶은 고등학교에 가지 못할까 봐 불안하군요. 가고 싶은 고등학교를 가기 위해 어떤 노력을 하고 싶으세요?,0
이번 시험에는 준비를 열심히 했는데 등수가 십 등이나 떨어져서 실망했어.,준비를 열심히 했는데 성적이 떨어져서 많이 속상하시겠네요.,0
수능 성적이 잘 나와서 원하는 대학에 지원할 수 있을 것 같아 무척 기뻐.,원하는 대학에 지원할 수 있을 만큼 좋은 점수를 받으셨다니 행복하시겠어요.,0
친구가 전교 회장 선거에서 떨어진 게 내 탓이라고 해. 어이가 없어.,친구가 탓을 해서 기분이 좋지 않으시겠어요.,0
오늘 시험을 보고 가채점을 해봤는데 맞출 것이라고 자신했던 문제를 틀려서 기분이 나빠.,자신 있던 문제를 틀려 많이 당황스럽겠군요.,0
야간 자율학습을 빠지고 집에서 공부하고 싶은데 선생님께 말하면 혼날 것 같아.,선생님께 혼날까 봐 두려우시겠어요.,0
학교 성적이 나왔는데 엄마가 알면 혼이 날 거야! 이걸 어떻게 해야 할까?,어머니가 알면 왜 혼이 나는지 물어봐도 될까요?,0
집이 가난해서 친구들을 집에 초대하기가 부끄러워.,친구들에게 집을 보여주시기를 부끄러워 하시는군요.,0
친구들이랑 같이 과외를 받기로 했는데 부모님께 어떻게 말해야 할지 고민이야.,부모님에게 어떻게 허락을 받아야 할지 고민이 많으시겠어요.,0
공부를 해도 성적이 안나오니 너무 혼란스러워.,공부를 해도 성적이 안나와서 혼란스러우시군요. 성적이 안나오는 이유는 어떤게 있을까요?,0
성적이 별로 안좋아서 진로 선택이 조심스러워.,많이 곤란하신가 봐요. 앞으로 어떻게 하실 건가요?,0
선생님과 면담을 하면 너무 지루하고 이야기가 너무 길어. 빨리 대화를 끝내고 싶고 답답해.,선생님과의 면담 시에 답답함을 느끼시는군요.,0
내가 내 친구보다 못생겨서 우울하고 속상해.,친구보다 못생겼다는 열등감에 힘드시겠어요.,0
여태껏 일등을 놓치지 않았는데 성적이 너무 떨어져서 말하기가 부끄러워.,갑자기 떨어진 성적으로 부끄러움을 느끼셨군요.,0
오늘 내가 가장 원하던 대학교로부터 합격 전화를 받았어! 기뻐.,원하는 대학교에 합격하셨다니 정말 기쁘시겠어요!,0
공부가 꼭 성공의 지름길인지 모르겠어. 마음이 혼란스러워.,그런 생각이 든다니 혼란스럽겠어요.,0
내가 미래의 직업이 확실하지 않아서 진로 선생님께 상담했는데 너무 잘해주셔서 꼭 감사 인사를 드리고 싶어.,상담을 잘해주신 진로 선생님께 감사 인사를 드리고 싶군요. 어떤 말씀을 어떻게 드릴지 혹시 생각해 보셨나요?,0
엄마가 내 성적에 대해 기대를 많이 해. 난 불안한데.,성적에 대해 많이 불안하시군요. 어떻게 하면 불안함을 줄일 수 있을까요?,0
오늘 본 시험이 생각보다 쉽게 나와서 기분이 좋아.,예상했던 것보다 시험이 쉽게 나와서 기분이 좋으시군요.,0
오늘 졸업식인데 선생님께서 아프셔서 오지 못하셨어. 그동안 감사하다는 말도 못 했는데.,졸업식에 선생님을 못 뵈어 아쉬웠겠어요.,0
반장 선거에 나갔는데 친구들이 나는 성격이 내성적이라 반장을 못 할 거라는 얘기를 들었어.,친구들이 내성적이라고 무시해서 무척 서운했겠어요.,0
친구의 보고서를 몰래 베꼈어. 기한을 맞추려면 어쩔 수 없었지만 계속 마음이 불편해.,친구의 보고서를 베낀 행위에 죄책감을 느끼고 계시네요. 이 감정을 해소할 방법이 있을까요?,0
새로운 학년이 시작해서 친구를 사귀려고 하는데 잘 안돼서 너무 슬퍼.,그러셨군요. 슬프시겠어요.,0
밤새 공부한 걸 다 잊어버릴까 봐 한숨도 못 잤어. 시험을 잘 볼 수 있을지 걱정이야.,한숨도 못 잤다니 정말 피곤하시겠군요.,0
원하는 대학 입시에 떨어졌어. 너무 속상해. ,원하는 대학 입시에 떨어져서 많이 속상하시겠어요. 어떻게 하면 다시 기운을 차릴 수 있을까요? ,0
이번 여름방학에도 학교에 가야 해서 짜증 나.,방학에 학교에 가야 해서 정말 싫으시겠어요.,0
이번에 시험을 잘 못 봤는데 친구들이 자꾸 내 성적을 물어봐서 기분이 안 좋아.,시험을 못 봐서 속상한데 친구들까지 물어봐서 기분이 더 좋지 않겠어요.,0
나는 다른 사람한테 과시하려고 일부러 시험 성적이 보이도록 펼쳐 놔. 안 그래야지 하면서도 이러니까 당황스러워.,본의 아니게 시험 성적을 과시하게 되어 당황스러우셨군요.,0
최근에 고등학교 입학 후 첫 시험을 봤는데 완전히 망쳤어. 나름대로 공부를 열심히 해서 자신 있었는데 나 자신이 실망스러워.,노력에 비해 성적이 잘 안 나와 실망스러우시군요. 이럴 때 자신감을 올릴 방법이 있을까요?,0
내가 원하는 대학에 진학을 못하게 됐어.,원하는 학교에 가지 못하게 되어 속상하시겠어요.,0
졸업하고 대학생이 된 게 믿기지 않아. 설레고 기뻐.,대학생이 되는 것이 행복하시군요. 특히 어떤 점이 좋으신가요?,0
내 시험지랑 친구 시험지가 바뀌었는데 부모님이 구박하셔서 너무 속상해.,바뀐 시험지 때문에 부모님이 구박해서 속상하군요.,0
나 꿈을 접어야 할 것 같아 정말 실망스러워.,어떤 일로 그렇게 해야 하는지 말해줄 수 있나요?,0
학교에서 학급비 훔쳐간 사람이 나라고 오해받아서 너무 억울해.,범인으로 몰려 너무 억울하시겠어요. 어떤 일이 있었는지 좀 더 자세히 말씀해 주시겠어요?,0
오늘 진짜 기분 좋아.,무슨 일이 있었나요? 자세히 얘기해 주세요!,0
선생님께서 내가 밤새 준비한 리포트를 기한이 지났다며 받아주지 않아서 낙담했어.,선생님께서 리포트를 받아주지 않아서 낙담하셨군요.,0
공부할 때는 주말은 전혀 생각도 못 하고 지내는 경우가 많은 것 같아.,거의 주말을 잊고 지내셨군요. 많이 힘드셨을 것 같아요.,0
나 드디어 특목고 가게 됐어. 정말 신나.,가고 싶었던 곳으로 가게 돼서 정말 좋으시겠어요. 축하드려요.,0
충격이야. 오늘 내가 한 숙제를 친구에게 보여줬는데 자기 이름으로 바꿔서 제출해 버렸더라.,이름을 바꿔서 숙제를 제출했다니 충격이 컸겠네요.,0
내가 좋아하는 친구와 같은 대학에 갈 수 있게 되었어.,축하드려요. 좋아하는 친구와 함께 대학을 다니게 되어서 기쁘시겠어요.,0
친구가 놀자고 해서 갔는데 선배들이랑 담배를 피우고 있어서 화가 나면서 좀 위축됐어.,예상치 못한 분위기에 위축이 되었군요.,0
나 공부해야 하는데 주말에 여행을 잡다니 말이 돼?,나의 지금 기분에 대해 말씀해 주세요.,0
내가 우리 반에서 가장 높은 점수를 받았다니 너무 감격스러워.,반에서 가장 높은 점수를 받으셔서 기쁘고 행복하실 것 같아요.,0
친구는 비싼 과외를 받아서 공부를 잘하는데 나는 독학해서 공부하느라 너무 힘들어.,혼자서 공부하는 게 만만찮은 일일 텐데 정말 힘들겠어요.,0
시험 마지막 날인데 잘 못 본 것 같아. 많이 준비한 시험인데 우울해서 주저앉아 울었어.,시험을 망쳤다는 생각에 많이 슬프셨군요.,0
오늘 엄마에게 짜증을 냈어.,어머니께 짜증낸 이유가 있나요?,0
학교는 공부 잘하는 애들만 사람 취급을 해주는 것 같아.,학교에서 차별을 하는 것 같아 화나셨겠어요. 조금 더 자세히 말씀해 주시겠어요?,0
나 발표 준비 열심히 했는데 다른 애들이 열심히 안 해서 점수 깎일 것 같아.,발표준비 열심히 했는데 너무 서운하시겠어요.,0
나 너무 두렵고 무서워. 내일 대학교 합격 결과 나오는데 나 잘한 거 없는 거 같아서 너무 무서워.,합격결과를 기다리기가 두려우시군요. 이럴 때 기분이 조금 나아질 방법이 혹시 있을까요?,0
선생님이 한번 하면 될 걸 여러 번 숙제 하게 만드네. 귀찮게.,선생님이 여러 번 숙제하게 해서 귀찮으셨군요.,0
성적이 잘 나와서 선택지가 많지만 너무 거기에만 매몰될 것 같아서 천천히 정하려고 해.,선택지를 천천히 정하려고 하시는군요.,0
학원 수업으로도 벅찬데 학교 숙제가 너무 많아서 짜증 나.,공부해야 할 것도 많고 숙제도 많아서 정말 힘드실 것 같아요.,0
매번 성적이야기 뿐이야. 나에 대해선 궁금하지도 않나?,학교에서 있었던 일을 자랑하고 이야기하고 싶었을 텐데 서운했겠어요.,0
수업 중에 앞에 있는 애가 자꾸 다리를 떨어서 집중이 안 돼.,다리를 떠는 친구 때문에 집중이 안 되셨군요.,0
볼펜으로 쓴 답을 수정해야 하는데 필통에 화이트가 없어서 당황스러웠어.,화이트가 없어서 당황스러우셨군요.,0
중간고사 봤는데 정답지를 밀려 썼어. 눈물이 나.,정답지를 밀려 쓰셔서 속상하시겠어요. 기분은 괜찮아지셨어요?,0
이번에 시험 일등 못하면 집에서 쫓겨날 거 같아 무서워.,시험에 꼭 일등을 해야 하니 마음이 불안하고 두렵겠어요.,0
성적이 생각보다 잘 나오지 않아서 힘들었는데 이제 마음을 추슬러서 편안해졌어.,성적 때문에 속상했을 텐데 잘 추슬러서 편안해 지셨군요.,0
이번 시험도 망치고 난 왜 이렇게 공부를 못 할까? 한심해.,시험 결과가 좋지 못해 속상하시군요.,0
너무 아파서 쉬고 왔는데 영어 선생님이 내가 공부를 안 해왔다고 다그쳐 화가 나.,아픈데 선생님이 혼내기까지 하니 화가 났겠어요.,0
나 벌써 고등학생인데 아직 진로를 못 정했어. 나만 늦은거 같아 불안해.,진로를 못 정했는데 나만 못 정한거 같아 불안하시군요.,0
오늘 첫 수업이었는데 나만 쪽 팔리게 질문에 대답 못 했어.,첫 수업부터 그런 일이 있어 기분이 안 좋으셨군요.,0
선생님의 말씀을 안 듣고 공부를 안 했던 시간들이 너무 안타깝고 후회가 돼.,공부를 소홀히 한 것이 후회가 되시는군요.,0
나만 잘하는 게 없는 것 같아서 너무 슬퍼.,잘하는 게 없는 것 같다고 느끼시는 이유가 있나요?,0
내가 오늘 친한 친구랑 처음으로 싸웠어. 그 친구랑 다시는 친하게 지내지 못할까 봐 너무 불안해.,그 친구랑 화해하지 못할까 봐 걱정이시군요.,0
수행평가 공지사항이 잘못 올라와서 내일인 게 다음 주라고 올라왔대. 준비를 하나도 안 했는데 어쩌지?,수행평가 준비를 아직 못해서 당황스러워하는 것 같아요. 지금이라도 준비를 할 수 있는 방법이 있을까요?,0
서술형 시험에 내 답안지가 모범 답안으로 올라서 뿌듯했어.,모범 답안으로 뽑혀서 기쁘셨군요.,0
나는 동생 뒷바라지를 위해 취업해야 해서 마음이 아파.,가정형편 때문에 취업할 수밖에 없어서 속상하시군요.,0
나 정말 동생이 너무 미워.,동생이 왜 그렇게 밉나요?,0
나 내가 정말 한심하다는 생각이 들어.,그런 생각이 무슨 일로 들었나요?,0
다른 애들은 다 가고 싶은 전공이 있는데 나만 없어. 난 도대체 왜 이 모양일까.,마음이 어렵겠어요. 어떻게 하고 싶으세요?,0
친구들과 달리 나는 아직 진로를 정하지 못해서 큰일이야. 여전히 고민 중이야.,아직 진로를 정하지 못했군요. 여전히 고민 중이라 불안하겠어요.,0
중학교 삼 년 내내 반장을 했었는데 고등학교에 올라와서 처음으로 반장선거에서 떨어져서 속상해.,고등학교에 올라와서 처음으로 반장선거에서 떨어져서 속상하시겠어요.,0
선생님이 수학 점수를 삼 등급으로 올리라고 해서 걱정이야.,몇 등급이라 걱정스러운 건가요?,0
시험 보는 것도 초조한데 뒤에서 불량한 친구들이 보여 달라고 압박해서 너무 불안해.,시험 때문에 불안한데 친구들까지 보여 달라고 압박하니 많이 두렵겠어요.,0
토요일인데도 학교에 공부하러 가야 돼. 너무 지루해.,토요일에도 학교에 공부하러 가야 돼서 너무 지루하시군요.,0
이 등과 점수 차이가 많이 나는 걸 보니 안심해도 될 것 같아.,조금만 더 자세히 말씀해주세요.,0
대학을 위해서 집에서 혼자 있으니까 좀 그래.,혼자 있으면 어떤 기분이 들어요?,0
이번 국어 시험이 백 점인 줄 알았는데 육십 점이 나와서 충격을 받았어.,육십 점이 나와서 충격이 컸겠어요.,0
조별 과제를 빨리 완성해야 하는데 친구 한 명이 계속 연락이 안 되네. 너무 화난다.,조별 과제를 완성해야 하는데 친구가 연락이 안 되어서 화가 나셨군요.,0
학교에서 무리 지어 다니면서 친구 한 명을 따돌리는 애들을 보고 너무 혐오스럽다고 느꼈어.,무리 지어 다니며 친구를 따돌리는 애들이 많이 혐오스러우시겠어요.,0
전공을 선택해야 되는데 원하는 진로가 뭔지 모르겠어.,진로에 대해 고민이시군요.,0
나는 하고 싶은 꿈이 있어. 그런데 그 꿈을 시작도 하지 못하게 될까 봐 너무 걱정돼.,하고 싶은 꿈에 다가서지 못할까 봐 두렵겠어요.,0
도덕 선생님 조별과제 너무 많이 시켜 짜증나.,선생님이 숙제를 많이 시키시는군요. 조별과제라 더 힘드시겠네요.,0
집안 형편 때문에 대학을 못 가서 슬퍼.,집안 형편 문제로 대학교 진학을 포기하게 되어서 속상하시군요.,0
친구와 싸우다가 친구에게 심한 말을 했어. 근데 지금 생각해보니 너무 미안해.,친구분과 싸우시다가 심한 말을 하셔서 미안하고 속상하시겠어요.,0
나는 유튜버가 되고 싶은데 선생님은 유튜버는 꿈이 아니라고 혼내서 기분이 나빴어.,선생님께 혼나서 기분이 좋지 않으시군요. 왜 그렇게 생각하실까요?,0
수학 선생님이 이번 기말고사 시험 서술형 백 퍼센트로 내신대. 너무 혐오스러워.,이번 기말고사 수학 시험은 서술형 백 퍼센트로 내시는데 너무 혐오스러우시군요.,0
나는 우리 선생님을 신뢰해.,선생님을 신뢰하게 된 계기가 있으실까요?,0
친구들이 내가 시끄럽다고 나랑 놀아주지 않아. 외롭고 쓸쓸해.,친구들이 놀아주지 않아 외로웠군요.,0
선생님이랑 진학상담 했는데 내가 갈 수 있는 학교가 많이 없나 봐.,선생님과 진학 상담을 한 후 상심이 크셨군요.,0
내가 수학을 잘하는 편인데 수학과보다는 경제학과에 가는 게 좋겠어.,그렇군요. 그래도 왜 그런 선택을 하시는 건가요?,0
내일 학교 진로상담이 있거든.,어떤 진로를 희망하고 계신가요?,0
친구에게 노트 필기를 부탁했는데 친구가 깜빡하고 잊어버렸대.,친구분이 필기를 깜빡해서 큰일이네요.,0
어떻게 친구가 대충 그린 그림이 나보다 나아 보이지? 너무 낙담 돼.,친구가 그린 그림이 더 잘 그린 그림 같아 낙담하셨군요.,0
나처럼 집에서 굶는 사람이 없도록 나중에 커서 꼭 영양사가 되고 싶어.,집에서 굶는 사람이 없도록 영양사가 되고 싶으시군요.,0
스터디 그룹에서 공부를 해도 성적이 오르지 않아서 친구들 몰래 과외를 받는 것에 미안해.,친구들 몰래 과외를 받는 죄책감에 미안함을 느끼시는군요.,0
친구가 나보다 시험 잘 봤는데 질투가 나서 당황스러워.,친구가 잘 됐는데 질투가 느껴졌다니 많이 당황스러우셨겠어요.,0
이번에 상위권 친구와 조별과제를 하게 됐는데 나 때문에 성적이 안 나올까 봐 걱정돼.,조별과제 성적이 안 나올까 봐 걱정이 많으시군요.,0
선생님이 갑자기 내 이름을 부르셔서 너무 놀라고 당황했어.,갑자기 선생님이 이름을 불려서 당황스러웠겠어요.,0
내가 뭘 하고 싶은 건지 모르겠어.,혹시 평소에 취미나 좋아하는 게 있나요?,0
점수가 잘 나오지는 않았지만 열심히 노력한 내 모습에 만족해.,결과보다는 노력에 초점을 맞추셨군요.,0
반 친구들은 반장이 공부도 잘 하고 착한 줄 알아. 반장보다 내가 착하고 공부도 잘 하는데 기분이 나빠.,친구들이 사용자님의 능력을 몰라주고 반장만 높이 칭찬해주셔서 기분이 안 좋군요.,0
좋은 대학교에 들어가면 다들 나를 부러워할 것 같아.,좋은 대학교에 들어가 사람들의 부러움을 받고 싶군요.,0
중간고사를 위해 정말 열심히 공부했는데 아빠가 칭찬 한 마디도 안 해주셔서 화가 나.,아빠가 칭찬을 안 해주셔서 화가 났군요.,0
성적이 떨어질까 봐 걱정했었는데 이번에 성적표를 보니 오히려 성적이 올랐어. 다행이야.,성적이 올랐다니 정말 다행이에요.,0
오늘 대학 합격 통지를 받았어. 엄마가 너무 기뻐하는데 나는 눈물이 났어.,오늘 대학 합격 소식을 듣게 되어 정말 기쁘시겠어요.,0
내 친구는 그림을 정말 잘 그리는데 난 미술 실력이 형편없을까?,친구에 비해 미술을 잘 못하는 것 같아 속이 상하셨군요.,0
요즘 들어 친구들이 내가 없는 자리에서 뒷담 할 것 같아.,자리에 없을 경우 친구들이 뒷담을 하게 될 것 같아서 많이 불안하시군요.,0
나 화가 나는 일이 있어.,무슨 일 때문에 화나셨나요?,0
난 정말 좋은 부모님을 둔 것 같아.,부모님을 신뢰하시는군요.,0
성적이 점점 떨어지고 있어. 어떤 부분이 문제인지도 모르겠어.,성적이 점점 떨어지는 데 문제를 알 수가 없으시군요.,0
친구가 시험지에 내 이름을 써서 교무실에 불려가서 혼났어. 너무 억울해.,자신의 잘못이 아닌데 혼나서 억울하셨군요.,0
내가 가고 싶던 대학교에 합격했어.,원하던 대학교에 합격돼서 기쁘시겠어요.,0
